escola;genero;ano;enredo;letra
União da Ilha;Samba-Enredo;2019;;"[Enredo: A Peleja Poética Entre Rachel e Alencar No Avarandado do Céu.
Vixe Maria! A ilha a cantar. Traçando em meus versos a minha alegria. Menina rendeira, me ensina a bordar. No céu, emoção; no chão, simpatia.
Vixe Maria! A ilha a cantar. Traçando em meus versos a minha alegria. Menina rendeira, me ensina a bordar. No céu, emoção; no chão, simpatia.
O Sol. Onde aquece a inspiração é luz. Meu sonho. É vida, vento, brisa à beira mar. Ouvindo poesias de Rachel. Suspiro nas histórias de Alencar. E hoje desfolhando meu cordel. Das lendas que ouvi no Ceará. É doce, é fogo, sabor e prazer. Aroma no ar, plantar e colher. Eu moldei no barro. As recordações que vivi com você.
Violeiro toca moda à luz do luar. Sanfoneiro puxa o fole e convida a dançar. Vou pedir a Padim Ciço, abençoe nosso povo. Essa fé vai nos guiar.
Violeiro toca moda à luz do luar. Sanfoneiro puxa o fole e convida a dançar. Vou pedir a Padim Ciço, abençoe nosso povo. Essa fé vai nos guiar.
Chão rachado, meu sertão. Peço a Deus pra alumiar. Terra seca que não seca a esperança. Arretada vocação de te amar. O sal da terra segue o meu destino. Sangue nordestino sempre a me orgulhar. A natureza cantada em meus versos. Traduz a beleza desse meu lugar.
Linda morena vestiu-se de amor. Teceu a vida com fios dourados. Eu, de chapéu de couro e gibão. Enfeitei o meu coração. E na moda desfilou ao seu lado."
Beija Flor de Nilópolis;Samba-Enredo;2018;;"Oh pátria amada, por onde andarás?. Seus filhos já não aguentam mais!. Você que não soube cuidar. Você que negou o amor. Vem aprender na beija-flor.
Sou eu. Espelho da lendária criatura. Um mostro carente de amor e de ternura. O alvo na mira do desprezo e da segregação. Do pai que renegou a criação. Refém da intolerância dessa gente. Retalhos do meu próprio criador. Julgado pela força da ambição. Sigo carregando a minha cruz. A procura de uma luz, a salvação!.
Estenda a mão meu senhor. Pois não entendo tua fé. Se ofereces com amor. Me alimento de axé. Me chamas tanto de irmão. E me abandonas ao léu. Troca um pedaço de pão. Por um pedaço de céu.
Ganância veste terno e gravata. Onde a esperança sucumbiu. Vejo a liberdade aprisionada. Teu livro eu não sei ler, brasil!. Mas o samba faz essa dor dentro do peito ir embora. Feito um arrastão de alegria e emoção o pranto rola. Meu canto é resistência. No ecoar de um tambor. Vêm ver brilhar. Mais um menino que você abandonou."
Deu Chucha na Zebra;Samba-Enredo;2019;;"Louco é o meu coração. Muito louco por esse pavilhão. Deu chucha na zebra. Faz o povo delirar. Eu quero ver Uruguaiana pirar.
A mente viaja, divaga. Na desordenada razão. É tempo de virar o mundo todo. Recriar o reino da imaginação. Insana memória. Fazendo historia. Um grito ecoou, sonho incrível!. É real, o impossível. De preto e branco, louco vem ser. É hora de enlouquecer.
Pirei, voou, virou paixão. Decolei nas asas da imaginação. Ao sabor do vento, loucura no ar. Nem mesmo louco vou deixar de te amar (chucha).
Da ficção, um albatroz. Alienada bruxaria. Delirante ilusão, sou paixão sem cura. Criador e criatura. Enlouqueci!. Pelas ruas, delirei. Uma artista alucinado. Na avenida, um rei. Olhando no espelho. Eu volto no tempo. 40 anos de um lindo sentimento. Tô desvairado de amor. Onde estiver estou."
Paraíso do Tuiuti;Samba-Enredo;2019;;"[Enredo: O Salvador da Pátria.
O meu Bode tem cabelo na venta. O Tuiuti me representa. Meu Paraíso escolheu o Ceará. Vou bodejar láiá, láiá.
O meu Bode tem cabelo na venta. O Tuiuti me representa. Meu Paraíso escolheu o Ceará. Vou bodejar láiá, láiá.
Vendeu-se o Brasil num palanque da praça. E ao homem serviu ferro, lodo e mordaça. Vendeu-se o Brasil do sertão até o mangue. E o homem servil verteu lágrimas de sangue.
Do nada, um Bode vindo lá do interior. Destino pobre, nordestino sonhador. Vazou da fome, retirante ao Deus dará. Soprou as chamas do Dragão do Mar.
Passava o dia ruminando poesia. Batendo cascos no calor dos mafuás. Bafo de bode perfumando a boemia. Levou no colo Iracema até o cais. Com luxo não! Chão de capim!. Nasceu Muderna fortaleza pro bichim.
Pega na viola, diz um verso pra iô iô. O salvador! O salvador!. Pega na viola, diz um verso pra iô iô. O salvador! O salvador! (Da pátria!).
Ora, meu patrão. Vida de gado desse povo tão marcado. Não precisa de dotô. Quando clareou o resultado. Tava o Bode ali sentado. Aclamado o vencedor.
Nem berrar, berrou, sequer assumiu. Isso aqui, iôiô, é um pouquinho de Brasil. Nem berrar, berrou, sequer assumiu. Isso aqui, iôiô, é um pouquinho de Brasil."
Águia de Ouro;Samba-Enredo;2019;;"[Enredo: Brasil, Eu Quero Falar de Você! Que País É Esse?.
Meu Deus, escute a Águia cantar. Oh Pai, lhe peço: Olhai por nós!. Somos filhos desta pátria. Que não cuida do que é seu. E não ouve a nossa voz.
Meu Deus, escute a Águia cantar. Oh Pai, lhe peço: Olhai por nós!. Somos filhos desta pátria. Que não cuida do que é seu. E não ouve a nossa voz.
Mãe, por que não te fizeste mais gentil?. Mãe! Por eles batizada de Brasil. Para onde foi o teu olhar. Quando do mar se aproximou. A caravela da ganância. A ambição do invasor?. O teu herdeiro então chorou. Derramou seu sangue em vão. E nos tornamos os escravos do próprio chão. ​. Ontem presos na senzala, maldade e dor. O negro suplicava: Ó, meu Senhor!. Hoje amargo preconceito. Liberdade é uma quimera. Viver livre, quem me dera!.
Ontem presos na senzala, maldade e dor. O negro suplicava: Ó, meu Senhor!. Hoje amargo preconceito. Liberdade é uma quimera. Viver livre, quem me dera!.
Vejam só que ironia. Da colônia à monarquia, por aqui nada mudou. Imperava uma história mal contada. Logo após republicada pelas mãos do ditador. Em planos, um país descolorido. Saqueado e dividido. O poder de quem tem mais. A farra das elites sociais. E o povo na rua, revestido de coragem. Lava a alma de esperança. Pra acabar com a sacanagem."
Acadêmicos do Cubango;Samba-Enredo;2019;;"Vou buscar pra mim a força do seu axé. Menino babalotim no sagrado afoxé. Menino babalotim no sagrado afoxé.
Aos pés do morro fiz o meu terreiro. Onde o padroeiro me protege em seu altar. Atoto eu bato cabeça pra omulu. Nesse chão tem pipoca pro santo. Oferendas do meu mundo verde e branco.
Ê saruê baiana, ê saruê baiana. Gira laguidibá, giram saias e guias. Carrega meu patuá em sua sabedoria.
Ê saruê baiana, ê saruê baiana. Gira laguidibá, giram saias e guias. Carrega meu patuá em sua sabedoria.
Búzios, carrancas e balangandãs. Relíquias iluminam meu caminho. Ao meu padim, eu amarro a minha fé. A cruz no peito pra me abençoar. Já fiz a promessa, o milagre vai chegar.
Em Romaria, eu agradeci. Desacreditado, acreditei. A cura da alma, o terço na mão. Um coração bordado ao Divino Rei.
Senhor, tem piedade de nós. Eis a oração em nossa voz. Tem gente vendendo, ao povo, ilusão. Acendo vela, peço salvação.
Ko si oba kan, ôôô. Ofi olorum, ôôô. Igba Cubango, meu amuleto. Proteção e amor.
Ko si oba kan, ôôô. Ofi olorum, ôôô. Igba Cubango, meu amuleto. Proteção e amor.
Vou buscar pra mim a força do seu axé. Menino babalotim no sagrado afoxé. Menino babalotim no sagrado afoxé."
Dragões da Real;Samba-Enredo;2019;;"[Enredo: A Invenção do Tempo. Uma Odisseia em 65 Minutos.
Quando a sirene tocar. Vai eternizar tamanha emoção. Será a história mais linda. Marcada pelo coração.
Quando a sirene tocar. Vai eternizar tamanha emoção. Será a história mais linda. Marcada pelo coração.
Quem sonhar, vai viver essa vitória. Lutar e vencer é nossa raiz. Avante, Dragões, chegou sua hora. É tempo de ser feliz.
Quem sonhar, vai viver essa vitória. Lutar e vencer é nossa raiz. Avante, Dragões, chegou sua hora. É tempo de ser feliz.
(Meu amor).
Amor. Nada será como antes. Tudo vai se transformar. O guardião do destino. Num sopro divino. Vai nos revelar.
O homem buscou dominar. Segundos contados na areia. A cada invenção. Nos ponteiros da ilusão.
Desvendar o futuro que virá. Viajar no passado e aprender. O presente mudar. Tudo pode acontecer.
Eu quero ver desvendar o futuro que virá. Viajar no passado e aprender. O presente mudar. Tudo pode acontecer.
Somos escravos da hora. Senhores do agora. Num mundo veloz. Será que é o tempo que passa. Ou quem passa somos nós?."
Império de Casa Verde;Samba-Enredo;2019;;"[Enredo: O Império Contra Ataca.
Vem ver o meu império a brilhar. Um filme pra te emocionar. Prepare o coração. E deixe o tigre te levar.
A luz da imaginação. Que ganha projeção e se eterniza. Reluz em nossos corações. Transborda emoções nessa avenida. Guiado pelo encanto do mundo em preto e branco. Deixa o vento me levar que eu vou. Pelos jardins num lindo toque de magia. Pode chover que eu vou cantar de alegria. Encontro além do arco-íris um castelo. Seguindo a estrada de tijolos amarelos.
A batalha do bem e do mal entra em cena. Toda fantasia invade o cinema. Tem bruxaria no ar, mil maravilhas contar. É aventura, ninguém segura.
Romances que tanto marcaram. Não foram deixados no fundo do mar. O futuro não espera. É nova era numa odisseia espacial. Tudo vai se transformar. Tudo pode acontecer. Imperiano, que a força esteja com você. E a Casa Verde mais uma vez vem deslumbrar a passarela. O nosso elenco dando show na sua tela. Seja você um personagem. A grande estrela da sétima arte."
Mocidade Alegre;Samba-Enredo;2019;;"[Enredo: Ayakamaé - As Águas Sagradas do Sol e da Lua.
(Amazonas, Amazonas, meu amor!).
Meu canto é guerreiro, sou Mocidade. Vermelho no sangue e na cor. Vou pelas águas que Tupã abençoou. Amazonas, meu amor!.
Meu canto é guerreiro, sou Mocidade. Vermelho no sangue e na cor. Vou pelas águas que Tupã abençoou. Amazonas, Amazonas, meu amor!.
Eu sou o verdadeiro dono dessa terra. Mareja em meu olhar. Todo o encanto dessas águas. Ayakamaé, um rio de amor. Deságua em ti, das lágrimas de prata do luar. Em noite proibida de amar. O brilho que aquece a manhã. Um santuário de vida floresceu. Na proteção de bravos Manaós. Yara seduz ao cantar. Na correnteza a caminho do mar.
Ariê auê, na mata ecoou. O toque do tambor. Na reza do pajé um ritual. Do rio sagrado, a cura pra vencer o mal.
Ariê auê, na mata ecoou. O toque do tambor. Na reza do pajé um ritual. Do rio sagrado, a cura pra vencer o mal.
Ê, caboclo da pele morena. Que faz da palha trançada um poema. Pra descrever todo o suor da sua lida. A fé conduz, nesse banzeiro, a sua vida. O Sol beijando as águas ao entardecer. Encontra a Lua pra fazer valer. A jura eterna de uma paixão. Transborda dentro do meu peito. As águas da inspiração. Que faz morada em cada coração.
Meu canto é guerreiro, sou Mocidade. Vermelho no sangue e na cor. Vou pelas águas que Tupã abençoou. Amazonas, meu amor!.
Meu canto é guerreiro, sou Mocidade. Vermelho no sangue e na cor. Vou pelas águas que Tupã abençoou. Amazonas, Amazonas, meu amor!."
Rosas de Ouro;Samba-Enredo;2019;;"[Enredo: Viva Hayastan.
Tem que respeitar a minha identidade. Roseira é felicidade. A esperança de um novo amanhã. Viva Hayastan!.
Tem que respeitar a minha identidade. Roseira é felicidade. A esperança de um novo amanhã. Viva Hayastan!.
Ganhei o mundo. O destino escolheu assim. O sentimento mais profundo. Está guardado em mim. Tu és o Sol que faz brilhar o meu sorriso. Reflete o esplendor do paraíso. Símbolo de força e coragem. Deus levou todo pecado em suas águas. Berço de guerreiros fascinantes. Onde a vida teve outra chance.
A fé que ilumina o meu caminhar. Fez o povo acreditar. Mudou a história, foi preciso seguir. Vencer batalhas, não desistir.
A fé que ilumina o meu caminhar. Fez o povo acreditar. Mudou a história, foi preciso seguir. Vencer batalhas, não desistir.
Palavras bordadas no tempo. Revelam o amor que eu sinto por ti. Orgulho estampado no peito. Que hoje reluz e floresce aqui. Teus filhos te abraçam, oh mãe soberana. Somos herança da tua raiz. A arte que corre nas veias faz nossa gente feliz. A Rosas ergue a bandeira da superação. E canta Armênia nesse carnaval. Celebrando a união."
Academia de Samba Praiana;Samba-Enredo;1998;;"Quem tem boca vai a Roma. Diz o dito popular. Quem é do mar não enjoa. Quem tá na chuva é pra se molhar.
Vem ver que a verde-rosa. Vem chegando toda prosa. Sambando e levantando o seu astral!. Nada acontece por acaso. E neste caso. Ajoelhou, tem que rezar.
(Vem meu amor). Vem meu amor, amor, amor. Vem desfilar. Há um ditado que diz. Ser praiana é ser feliz.
A fé remove montanhas. A voz do povo é a voz de Deus. Quem canta seus males espanta. Não sou de ouro. Mas hoje quem reluz sou eu. Amor com amor se paga. O pior cego é o que não quer ver.
Quem convida dá banquete. Hoje eu vou soltar foguete. Quem te viu, que te vê.
Coração de mãe não se engana. Morre o homem, fica a fama. Devagar eu chego lá. O bom filho à casa torna. Aqui é meu lugar. Tudo que é bom dura pouco. Quem viver, verá.
Roda, roda baiana, vem jogar teu axé. Filho de peixe, peixinho é. Gira, gira baiana, vamos balançar. Se ficá o bicho come. Se corrê vai pegá."
Academia de Samba Praiana;Samba-Enredo;2003;;"Tá na hora. O show vai começar. Com a paz intergaláctica. Hoje a praiana vêm mostrar. (E vai mostrar) em verde e rosa. Eu canto em verso e prosa. A passagem do tempo e da vida. Uma viagem que traz. De um planeta para o outro. Uma mensagem de paz.
(A missão) grupo escolhido, rumo ao desconhecido. Em busca da paz mundial. Pra acabar com a violência atual. Uma viagem em anos luz. A esperança é a voz que os conduz. E no caminho de volta. Avistaram o brilho de um pequeno planeta.
É prateado, tem anéis em verde e rosa. Sua atmosfera idem da terra. Hoje a Praiana nos traz. Uma mensagem de amor e paz.
(Pode chegar) foram permitidos e pousaram. Seguiram para o prédio principal. Mór é o representante. Se aproximaram os primeiros habitantes. No olhar de mó, visão de bondade. Uma áurea clara e vistosa. É o que conta a minha verde e rosa.
Espelho, espelho meu, diga quem sou eu?. Se o espelho é o retrato da alma, quem sou eu?.
(Pra ser feliz) tem que haver harmonia. Entre os seres da terra. Um coração de criança. Arte, muita musica e dança. Aconselhou o grande mór a humanidade. Também se amar e respeitar com igualdade. Ao retornar, encontraram a paz que foram buscar."
